"avg_sleep_hours_per_night
",avg_exercise_days_per_week,avg_work_or_study_hours_per_week,avg_screen_hours_per_day,social_interaction_quality_rating,diet_healthiness_rating,smoking_drinking_habits_rating,avg_recreational_hours_per_week,stress_probability
6,1,35,2,8,6,6,10,0
7,0,50,4,7,10,1,7,0
6.5,0,40,2,10,7,1,4,0
6,0,52,4,3,6,1,5,1
7.5,4,55,11,4,7,4,14,0
6,0,50,0,7,8,2,5,0
7,0,36,3,3,7,1,0,0
6.5,0,30,4,6,9,1,10,0
6,0,70,3,5,7,5,0,1
6,0,55,4,2,7,6,5,1
5.5,2,30,6,7,8,1,9,0
8,0,50,10,5,5,5,0,1
5,0,45,9,6,6,6,2,1
6,5,20,4,3,4,8,10,1
6,0,35,5,7,4,1,0,1
5.5,1,40,4,9,8,1,14,0
7,0,55,12,3,8,3,1,1
7,2,30,4,6,5,6,7,0
5,0,60,0,7,4,5,1,1
7,1,50,4,3,8,5,7,1
8,0,45,3,8,6,1,5,0
6,0,30,4,6,7,1,14,0
7,4,40,8,6,8,1,10,0
6.5,0,50,4,4,6,4,0,1
5,0,75,0,7,7,5,0,1
7.5,3,40,5,5,7,1,7,0
6,0,50,4,8,5,6,5,1
7,0,30,3,6,7,1,0,0
8,2,36,4,6,6,1,7,0
7,0,40,3,8,6,1,2,0
6,0,30,4,6,4,5,0,1
7,1,50,9,2,6,5,5,1
6,0,40,10,7,6,2,5,0
8.5,2,30,4,9,7,1,0,0
7,0,45,2,8,8,1,2,0
6,2,50,4,3,9,6,2,1
5,0,60,2,6,7,4,0,1
7.5,1,45,2,7,4,1,7,0
6,0,30,4,3,6,3,5,1
6,0,55,2,7,7,1,2,0
7,4,50,4,9,4,3,5,0
7,2,35,8,6,3,3,10,1
5,0,45,11,4,5,1,0,1
6,5,40,10,6,7,4,7,0
7,0,55,3,2,5,6,0,1
8,0,63,0,7,5,8,0,1
7,0,63,0,7,5,7,0,1
7.5,7,45,9,8,6,5,10,0
7,2,40,2,5,7,1,7,0
5.5,0,50,12,6,6,1,0,1
6.5,1,55,1,2,4,6,0,1
7,0,45,3,8,5,1,7,0
6,0,45,4,4,3,8,0,1
5.5,2,50,1,9,5,1,0,1
7,4,45,4,6,7,4,7,0
6,0,72,0,5,6,5,0,1
5,0,72,1,6,6,1,4,1
7,4,55,10,7,10,2,7,0
6,0,52,9,5,7,7,2,1
8.5,2,45,3,5,9,1,15,0
7,0,30,2,9,5,1,14,0
8,0,40,1,7,4,3,10,0
5,0,45,11,8,5,5,0,1
7,3,40,2,2,5,5,4,0
6,0,50,3,4,6,6,0,1
5,0,60,4,7,4,1,0,1
8,5,45,12,6,9,4,14,1
9,3,40,10,8,3,1,5,0
7,0,63,1,7,5,8,0,1
7,7,54,1,9,8,5,2,0
8,0,0,0,4,7,9,0,1
4.5,0,70,10,2,6,1,0,1
6,2,40,2,7,8,4,7,0
7,4,30,6,5,7,1,0,0
6,0,54,4,7,8,1,14,0
7,0,50,2,3,10,6,0,1
6,3,45,9,3,5,7,4,1
8,0,30,1,6,5,1,12,0
7.5,0,30,4,8,5,1,5,0
6,2,40,3,6,5,3,0,0
5,0,50,4,6,8,3,0,1
7,4,40,10,4,7,3,14,1
8,0,30,4,5,9,5,9,0
6,0,54,3,3,7,1,0,1
7,5,40,10,4,8,3,7,0
6,3,45,2,5,6,1,0,0
5.5,3,48,4,3,6,8,2,1
7,0,45,14,4,8,4,14,1
7,0,40,2,8,6,4,9,0
5,0,50,2,4,7,1,4,1
7.5,2,45,3,9,6,1,7,0
7,0,50,0,9,3,7,0,1
4.5,0,50,2,8,5,6,4,1
7,4,55,10,6,8,2,2,0
8,0,40,1,5,7,1,5,0
5,0,50,2,4,5,1,12,1
7.5,5,30,3,7,3,4,10,0
6,2,40,10,5,4,8,0,1
7,0,60,3,5,8,6,0,1
8,0,35,9,6,7,1,10,0
6,4,40,3,9,5,1,2,0
5,0,40,10,4,7,7,2,1
8,7,0,4,7,7,3,0,0
6,0,40,2,4,10,6,7,1
5.5,0,70,1,5,6,4,0,1
6,0,70,0,8,5,2,0,1
7,2,45,5,4,7,3,12,0
8,5,36,4,8,7,9,7,0
8,0,52,2,5,6,1,5,0
6,0,60,8,7,8,3,1,1
6.5,2,40,11,5,7,1,14,0
7,0,45,0,8,7,4,2,1
6,3,70,12,1,8,1,7,1
8,0,45,1,9,6,6,5,0
7,0,40,8,7,6,1,9,0
6,6,65,11,3,8,1,14,1
8.5,0,40,3,10,7,1,21,0
7,5,39,1,10,9,6,7,0
6,0,40,9,7,10,1,5,0
6.5,0,35,4,4,5,7,0,1
8,7,70,2,3,3,9,4,1
9,0,40,2,7,7,3,5,0
6,0,50,1,7,4,5,0,1
7,0,40,8,6,7,1,7,0
6.5,7,40,2,10,7,3,15,0
8,0,30,4,7,6,7,10,0
7,0,40,9,3,7,2,0,1
8,0,40,3,6,10,1,4,0
6,1,60,1,4,6,4,7,1
4.5,0,72,11,2,9,6,0,1
6.5,2,40,5,8,8,1,14,0
8,4,30,2,3,7,1,9,0
7,0,46,2,7,10,5,0,0
6,3,45,10,1,5,6,5,1
5,0,72,0,7,4,3,0,1
7,2,40,4,7,5,10,0,1
6.5,3,42,3,8,7,5,6,0
8,6,40,4,6,4,1,12,0
8.5,6,45,12,8,7,1,7,0
6,0,40,9,2,6,7,0,1
6,0,45,4,4,10,6,5,1
7,1,60,2,1,4,1,0,1
6,0,60,0,8,9,2,0,0
7,0,60,1,7,7,8,0,1
8,3,40,3,8,8,4,15,0
8,0,40,2,10,4,1,4,0
6,0,72,0,7,5,5,0,1
8,6,0,4,3,8,5,12,0
6.5,3,40,9,5,9,1,10,0
7,0,40,4,7,2,8,0,1
6,5,36,2,7,6,1,2,0
5,1,60,0,8,3,3,0,1
7,2,40,11,6,7,5,14,0
9,0,0,2,8,5,6,7,0
5,0,45,3,3,5,1,0,1
7,5,40,3,9,2,4,12,0
6,2,42,4,8,7,8,10,0
7.5,0,40,0,4,5,7,0,1
6,1,55,5,5,7,4,3,1
7,3,40,6,7,6,2,6,0
5.5,0,45,7,6,5,4,0,1
8,0,34,3,8,8,1,10,0
6,2,50,0,5,6,1,6,0
7.5,5,38,4,6,7,2,8,0
5,0,70,0,3,4,6,1,1
6,2,48,5,4,5,1,0,1
7,0,40,2,8,7,2,7,0
6,0,46,6,5,5,7,3,1
8,4,36,3,7,9,1,10,0
6.5,0,45,10,4,5,5,2,1
7,0,36,4,6,6,3,7,0
7,1,52,4,9,7,1,6,0
5.5,0,50,1,5,5,4,6,1
8.5,4,38,3,8,7,1,8,0
5,0,70,10,1,4,4,0,1
6.5,0,50,5,6,6,1,5,0
7,3,40,4,10,7,2,6,0
6,0,40,9,3,4,7,8,1
8,5,35,3,8,3,2,9,0
5.5,0,40,7,4,3,1,2,1
7,0,42,4,6,6,3,5,0
6,3,54,4,7,9,2,7,0
6,0,45,6,5,5,4,0,1
7.5,4,40,1,9,7,1,8,0
5,0,72,0,6,10,8,0,1
7,2,50,5,10,6,3,5,0
7,3,40,4,7,9,1,6,0
6,0,50,6,5,4,1,0,1
8,5,36,3,9,8,1,9,0
5.5,0,54,2,4,5,7,2,1
7,2,40,5,8,6,1,5,0
6,0,55,4,3,7,5,6,1
6,0,60,6,5,3,4,3,1
7,0,42,1,8,9,1,8,0
5.5,0,70,1,2,4,6,0,1
6.5,2,54,2,6,10,3,7,0
7,3,48,4,9,7,1,10,0
8,0,30,6,10,5,1,0,0
6,1,40,11,5,5,8,0,1
5,0,45,8,4,5,5,4,1
7,1,50,5,6,3,1,14,1
6.5,0,42,4,6,4,1,6,0
6,0,40,0,4,7,4,2,1
8,4,44,3,7,8,1,10,0
5.5,0,60,2,10,4,6,0,1
6,0,52,9,6,6,3,0,1
7,0,50,4,7,2,1,7,0
6.5,2,44,6,5,9,1,0,0
9,5,40,3,8,8,1,9,0
7,0,72,1,6,7,7,2,1
5.5,2,52,5,3,6,4,5,1
6,3,48,6,9,8,1,4,0
6,0,50,2,7,3,6,7,1
7.5,4,46,10,1,6,5,2,1
5,0,40,4,3,6,1,0,1
5.5,0,60,4,6,6,10,4,1
7,5,50,9,9,3,4,7,0
8,0,50,0,4,8,1,0,0
8,6,40,3,8,8,7,10,0
5.5,0,74,7,5,5,3,0,1
7,0,45,1,6,6,1,5,0
7.5,7,50,4,7,2,1,6,0
6,1,54,10,5,8,4,9,1
8,0,36,5,8,7,1,7,0
5,0,60,3,3,6,6,2,1
6,2,48,2,9,6,1,0,0
7,0,45,12,7,9,1,9,0
6,0,60,0,8,7,9,0,1
8,5,40,3,8,4,1,10,0
4.5,0,70,2,4,2,1,0,1
7,0,55,3,6,8,1,2,0
6,1,45,11,7,4,10,0,1
7.5,4,40,4,8,10,1,8,0
8,0,0,0,9,5,3,14,0
6,2,54,10,3,7,1,0,1
7,3,55,1,7,4,2,6,0
6,0,36,5,5,3,6,9,1
7.5,0,45,5,8,3,1,0,0
5.5,0,70,1,4,5,4,2,1
7,4,30,2,7,4,1,7,0
7.5,0,50,5,6,9,1,4,0
8,2,40,9,8,8,5,2,0
8,0,60,0,3,5,7,1,1
6,0,48,2,4,5,1,7,0
5,5,38,3,8,10,3,0,0
7.5,6,35,8,3,7,5,14,0
6,0,54,12,7,10,9,7,1
6,0,55,2,6,8,1,9,0
7,2,40,10,3,7,3,10,0
8,5,30,3,8,4,1,14,0
6,0,52,3,7,5,5,5,1
6.5,0,50,3,5,2,8,2,1
7,0,60,1,10,5,7,0,1
6,1,48,0,6,9,1,10,0
8,6,40,9,1,6,1,5,0
9,7,35,3,7,8,1,7,0
5,0,72,0,4,7,9,0,1
6.5,0,46,6,8,8,10,5,0
